symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOGL,2017-09-11 00:00:00+00:00,9.62,9.72,9.58,9.66,171272,6.0926205444,6.1559533983,6.0672874029,6.117953686,171272,0.0,1.0
GOGL,2017-09-12 00:00:00+00:00,9.15,9.36,9.07,9.26,192274,5.7949561311,5.9279551243,5.744289848,5.8646222704,192274,0.0,1.0
GOGL,2017-09-13 00:00:00+00:00,8.78,8.95,8.68,8.95,408708,5.5606245717,5.6682904233,5.4972917178,5.6682904233,408708,0.0,1.0
GOGL,2017-09-14 00:00:00+00:00,9.04,9.07,8.854,8.89,171390,5.7252899918,5.744289848,5.6074908836,5.630290711,171390,0.0,1.0
GOGL,2017-09-15 00:00:00+00:00,8.98,9.02,8.87,8.96,218786,5.6872902795,5.7126234211,5.6176241402,5.6746237087,218786,0.0,1.0
GOGL,2017-09-18 00:00:00+00:00,8.77,8.84,8.63,8.73,185862,5.5542912863,5.5986242841,5.4656252909,5.5289581448,185862,0.0,1.0
GOGL,2017-09-19 00:00:00+00:00,8.79,8.86,8.72,8.84,122201,5.5669578571,5.6112908548,5.5226248594,5.5986242841,122201,0.0,1.0
GOGL,2017-09-20 00:00:00+00:00,9.06,9.2,8.98,9.07,193059,5.7379565626,5.8266225581,5.6872902795,5.744289848,193059,0.0,1.0
GOGL,2017-09-21 00:00:00+00:00,8.71,8.98,8.7,8.98,235083,5.516291574,5.6872902795,5.5099582886,5.6872902795,235083,0.0,1.0
GOGL,2017-09-22 00:00:00+00:00,8.71,8.99,8.67,8.97,166041,5.516291574,5.6936235649,5.4909584324,5.6809569941,166041,0.0,1.0
GOGL,2017-09-25 00:00:00+00:00,8.13,8.49,8.06,8.46,374479,5.1489610214,5.3769592954,5.1046280237,5.3579594393,374479,0.0,1.0
GOGL,2017-09-26 00:00:00+00:00,7.97,8.01,7.8298,7.97,273112,5.0476284552,5.0729615968,4.958835794,5.0476284552,273112,0.0,1.0
GOGL,2017-09-27 00:00:00+00:00,7.95,8.06,7.74,7.77,290854,5.0349618844,5.1046280237,4.9019628912,4.9209627474,290854,0.0,1.0
GOGL,2017-09-28 00:00:00+00:00,8.02,8.17,7.9608,8.07,183168,5.0792948821,5.174294163,5.0418018326,5.1109613091,183168,0.0,1.0
GOGL,2017-09-29 00:00:00+00:00,7.84,7.93,7.825,7.91,155315,4.9652957451,5.0222953136,4.9557958171,5.0096287429,155315,0.0,1.0
GOGL,2017-10-02 00:00:00+00:00,7.73,7.83,7.69,7.69,141716,4.8956296059,4.9589624598,4.8702964643,4.8702964643,141716,0.0,1.0
GOGL,2017-10-03 00:00:00+00:00,8.19,8.2,8.04,8.05,231734,5.1869607338,5.1932940192,5.0919614529,5.0982947383,231734,0.0,1.0
GOGL,2017-10-04 00:00:00+00:00,8.27,8.36,8.22,8.3,178263,5.2376270169,5.2946265854,5.2059605899,5.256626873,178263,0.0,1.0
GOGL,2017-10-05 00:00:00+00:00,8.45,8.58,8.41,8.47,246170,5.3516261539,5.4339588639,5.3262930123,5.3642927247,246170,0.0,1.0
GOGL,2017-10-06 00:00:00+00:00,8.17,8.29,8.14,8.29,147151,5.174294163,5.2502935877,5.1552943068,5.2502935877,147151,0.0,1.0
GOGL,2017-10-09 00:00:00+00:00,8.09,8.2,8.05,8.17,106118,5.1236278799,5.1932940192,5.0982947383,5.174294163,106118,0.0,1.0
